Env,DistB73,SS,NSS,TS,INBRED,10KW_Inbred,KC_Inbred,CD_Inbred,CL_Inbred,CW_Inbred,TKW_Inbred,10KW_B73,KC_B73,CD_B73,CL_B73,CW_B73,TKW_B73,10KW_Hyb,KC_Hyb,CD_Hyb,CL_Hyb,CW_Hyb,TKW_Hyb,10KW_bph,CD_bph,CL_bph,CW_bph,TKW_bph
02F,1.5182219,0.003,0.992,0.005,CH9,2.733333333,133.5365854,24.46,77.31,8.266666667,36.5,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.34,348.6227545,33.938,130.762,25.74,116.44,0.075,0.566666667,19.28833333,3.816666667,13.175
02F,1.68527599,0.006,0.992,0.002,CI187-2,2.6,139.6153846,24.58,105.75,12.9,36.3,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.34,370.6586826,27.694,153.462,27.1,123.8,0.008333333,0.506666668,5.068333325,1.5,13.275
02F,1.5182219,0.119,0.866,0.015,CI21E,2.76,249.057971,29.986,113.314,16.76,68.74,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.76,376.8085106,30.614,145.028,27.8,141.68,0.088333333,2.196333333,1.286333325,0.43,2.945
02F,1.71604765,0.004,0.749,0.247,CI28A,2.5,140.4,22.074,96.47,11.66,35.1,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,2.98,265.9731544,27.1,120.296,19.76,79.26,0.041666667,1.759666668,9.708333325,2.12,13.875
02F,1.65542303,0.002,0.994,0.004,CI31A,.,.,.,.,.,.,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.54,314.2372881,27.812,139.944,23.4,111.24,.,.,.,.,.
02F,1.46821148,0.083,0.905,0.012,CI3A,2.66,201.5789474,28.976,93.332,14.98,53.62,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.58,495.1955307,31.16,153.368,34.64,177.28,0.038333333,1.691333333,11.27733333,0.46,4.615
02F,1.78058617,0.011,0.988,0.001,CI44,2.4,220.5,25.798,87.464,10.04,52.92,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,2.9875,478.5774059,30.52375,131.2425,22.1375,142.975,0.091666667,0.102333332,14.21133333,2.93,4.965
02F,1.74779635,0.012,0.986,0.002,CI64,2.54,189.2913386,28.036,86.4475,9.96,48.08,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.36,568.9285714,29.352,148.154,27.44,191.16,0.021666667,1.221333333,14.71958333,2.97,7.385
02F,1.4929041,0.011,0.935,0.054,CI66,1.65,96.36363636,22.98,89.205,12.725,15.9,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.98,443.0150754,31.502,148.87,35.14,176.32,0.466666667,1.306666668,13.34083333,1.5875,23.475
02F,1.84957904,0.004,0.994,0.002,CI7,1.75,144.5714286,23.36,69.89,7.4,25.3,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.2,582.6875,28.924,172.49,31.26,186.46,0.416666667,1.116666668,22.99833333,4.25,18.775
02F,1.88594668,0.003,0.737,0.26,CI90C,1.42,200.8450704,20.738,78.13,6.26,28.52,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,2.98,384.0939597,31.828,127.246,26.32,114.46,0.581666667,2.427666668,18.87833333,4.82,17.165
02F,1.71604765,0.002,0.997,0.001,CI91B,1.933333333,169.8275862,21.85,90.63333333,5.433333333,32.83333333,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.34,439.8203593,30.22,151.582,29.16,146.9,0.325,1.871666668,12.62666666,5.233333334,15.00833334
02F,0.85299588,0.995,0.004,0.001,CM105,2.85,80.35087719,20.035,71.4775,6.475,22.9,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.42,361.6374269,28.768,139.314,23.16,123.68,0.133333333,2.779166668,22.20458333,4.7125,19.975
02F,0.89132411,0.997,0.002,0.001,CM174,2.5,36.2,18.165,62.24,4.6,9.05,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.16,366.5189873,27.316,130.348,23.28,115.82,0.041666667,3.714166668,26.82333333,5.65,26.9
02F,1.71604765,0.013,0.969,0.018,CM37,2,.,16.58,.,1.95,.,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,2.9,376.8275862,28.922,142.366,19,109.28,0.291666667,4.506666668,.,6.975,.
