geno,geno2,accenumb,accename,comp1num,comp1gerp,comp2num,comp2gerp
R229,R229,PI592734,R229,6,4180.86581000007,8,16237.0771099999
R4,R4,AMES27187,R4,3,4854.28380000006,8,19582.6325700004
R71,R71,NSL30872,R71,4,5044.66120000006,4,2428.462
R78,R78,NSL30876,R78,5,5070.25680000006,4,3329.76158
SD101,SD101,PI533658,SD101,5,3798.50834000007,10,9997.13983
SD102,SD102,PI533659,SD102,5,5366.69880000006,6,11553.4053400001
SD15,SD15,NSL34374,SD15,4,3622.22200000007,10,13235.96206
SD40,SD40,PI606768,SD40,5,4729.74754000006,6,13246.4175600001
SD44,SD44,PI524969,SD44,5,5487.55880000006,6,2817.15542000002
SG_30A,SG30A,NSL75980,SG 30A,2,621.392999999998,6,15644.1843700003
Sg18,SG18,NSL75979,SG 18,3,3831.55600000006,13,37347.9269200013
T146,T146,PI340829,T146,3,3294.34190000007,10,24868.1161300003
T232,T232,PI550522,T232,7,5796.15480000006,8,21114.1985200002
T242,T242,PI340830,T242,4,3622.22200000007,10,17953.4735960001
Tr,TR,AMES26022,Tr,3,4854.28380000006,12,19701.0151500002
Tx303,TX303,AMES19327,Tx303,3,3704.27850000007,7,10481.7100000001
Va102,VA102,PI587151,Va102,6,7003.85177000005,5,13871.6537000003
Va38,VA38,AMES19011,Va38,2,621.392999999998,6,11194.8383600001
Va52,VA52,AMES19014,Va52,4,3688.49100000007,10,21736.97024
Va85,VA85,AMES27193,Va85,4,5828.41613000006,12,12519.50606
Va99,VA99,AMES24989,Va99,5,3898.08224000007,5,18197.8629200001
VaW6,VAW6,AMES19000,VaW6,3,1217.3802,3,12274.4293700002
W153R,W153R,NSL30059,W153R,4,3622.22200000007,11,16762.1652600001
W22,W22,NSL30053,W22,5,4120.10191000007,12,21401.0011100002
W23,W23,NSL30060,W23,3,3409.19600000007,10,14675.0891000001
W24,W24,NSL30064,W24,6,5219.99180000006,2,494.288400000002
W32,W32,NSL30071,W32,5,1038.49757,4,13430.9284500002
W552,W552,PI520770,W552,4,4857.23080000006,9,27643.3051800012
W64A,W64A,NSL30058,W64A,4,3706.38300000007,6,9955.02832000024
W9,W9,NSL30065,W9,6,4540.39157000006,8,17139.7727930001
WR3,WR3,NSL30066,WR3,7,5810.96074000005,10,15213.5429899999
YE_4,YE4,AMES2335,Ye 4,4,3578.74400000007,8,9861.23315000008
Yu796_NS,YU796NS,AMES27196,Yu796_NS,5,4961.33868000007,11,20234.5004030004
