"","pop 1","pop 2","pop 3"
"38",0.241917861715212,0.236990340203569,0.292340835473309
"39",0.456933384178804,0.504227544021413,0.522921049691938
"40",0.35926797956055,0.350838313427442,0.429132067307291
"41",0.270924462671721,0.313024019900136,0.275183199286586
"42",0.0407483415864203,0.0173394677218207,0.0332386365540315
"43",0.0435666407121994,0.0332033806967176,0.047811003933106
"44",0.0433219692464535,0.0512828366601591,0.0512045071148039
"45",0.122456571436167,0.108692450377684,0.114077677631393
"46",0.239919397115729,0.271726909561179,0.332565856982385
"47",0.0380796472755738,0.0395811515853099,0.0354493349787467
"48",0.00858890000281506,0.0119301841948901,0.00468720821661998
"49",0.0156117044991565,0.0164316407276934,0.0114871794871795
"50",0.0235718966391023,0.0128932736650177,0.0276154391589963
"51",0.445311441623126,0.443657080548532,0.574517603871929
"52",0.166273625954127,0.159476070052219,0.191285197688371
"53",0.0606882034974165,0.0360370671283917,0.071711630063113
"54",0.110522309545853,0.0733733266094721,0.163487597975499
"55",0.0527710967855401,0.0358335933779482,0.117519901121274
"56",0.136314712584101,0.132247202281847,0.182043219994403
"57",0.212690542581408,0.249861399094459,0.361667806733701
"58",0.0768826326424154,0.0678836981555062,0.0810955291882691
"59",0.0900037918922317,0.0913213768518291,0.158939889166082
"60",0.0732328361534144,0.0659338953287331,0.0868468785149661
"61",0.515997841203764,0.478145261164914,0.861401486791537
"62",0.265342728178261,0.283930800711872,0.384760068404143
"63",0.317353028973884,0.331305255879311,0.349292573021885
"64",0.199471555992421,0.212265791354458,0.374696607993351
"65",0.0793803084329625,0.0756741969771868,0.214742120404562
"66",0.0659641616345582,0.107919872200527,0.0790916588937517
"67",0.0529380252290199,0.0567773506627739,0.0610534505449804
"68",0.202944593717035,0.289857264022689,0.352770159761534
"69",0.201877226613861,0.291427019607051,0.26154856527664
"70",0.196185863638017,0.330196006942036,0.246119389891099
"71",0.331441189290926,0.474929352976129,0.363080729459672
"72",0.165021480130149,0.226722720242312,0.371461115284237
"73",0.121606838328405,0.197327664662743,0.292213812492494
"74",0.262844963949946,0.327147457513594,0.553389345979233
"75",0.228426640647566,0.283127889510833,0.211516048086685
"76",0.113330541230502,0.152152412754114,0.116629237905364
"77",0.156477224369685,0.199523387608979,0.194590649307651
"78",0.107740261466717,0.0983516269158692,0.100214509884704
"79",0.225894821091925,0.252305002183248,0.213454018566181
"80",0.0708798442325733,0.0757246971557535,0.0825233506764409
"81",0.0187435448035198,0.0197744290701437,0.00972033763338111
"82",0.0308589593629893,0.0264764628033658,0.0279154003596323
"83",0.142332514986018,0.133072522092983,0.113521062683549
"84",0.127003571563147,0.116614548996974,0.104210011398351
"85",0.247403839249807,0.291331893670528,0.20903410917466
"86",0.383652356499316,0.384770220474578,0.396096137425866
"87",0.470241552497178,0.393905911303516,0.479752588037533
"88",0.223158243181225,0.180437207045205,0.331697002587404
"89",0.0346553091651797,0.0370513339160765,0.0621430653899885
"90",0.00124675324675325,0,0
"91",0,0,0
"92",0.0221781744507881,0.0299780689414097,0.0444425635598857
"93",0.334317393244278,0.15881466557712,0.387991754858962
"94",0.0596785584651631,0.0450652400357556,0.0617348871749151
"95",0.127902650400112,0.123314300471855,0.141221861285918
"96",0.148904812562743,0.172686148111293,0.178479868953435
"97",0.236579436213799,0.256492740772229,0.25169900359736
"98",0.437791639910519,0.312621720488238,0.538771176369303
"99",0.542046398970675,0.649213363944773,0.65094015574884
"100",0.155189816944536,0.226698012269955,0.176223290588675
