geno,geno2,accenumb,accename,comp1num,comp1gerp,comp2num,comp2gerp
R229,R229,PI592734,R229,40,36588.3533700002,27,48319.9074
R4,R4,AMES27187,R4,31,31324.8024000002,30,66844.9902100002
R71,R71,NSL30872,R71,26,23640.0143700001,30,31590.5906299999
R78,R78,NSL30876,R78,25,31592.6738700005,27,34302.6771200002
SD101,SD101,PI533658,SD101,27,24366.3000200001,38,46311.701572
SD102,SD102,PI533659,SD102,23,20803.08169,21,32570.4330600001
SD15,SD15,NSL34374,SD15,22,24836.0422300001,30,45744.4336300001
SD40,SD40,PI606768,SD40,20,25908.1242100004,18,25661.5156800002
SD44,SD44,PI524969,SD44,31,38556.0716700004,28,40054.65243
SG_30A,SG30A,NSL75980,SG 30A,22,23863.2303000001,43,56573.9763700001
Sg18,SG18,NSL75979,SG 18,24,30176.1215900002,44,103369.888260001
T146,T146,PI340829,T146,20,17917.7253,31,51284.6947200004
T232,T232,PI550522,T232,28,23220.2887200001,29,46393.45671
T242,T242,PI340830,T242,22,18240.35552,46,58662.2223360002
Tr,TR,AMES26022,Tr,29,30950.9260200001,38,49503.5405600005
Tx303,TX303,AMES19327,Tx303,27,25114.4837000001,36,64336.8774300001
Va102,VA102,PI587151,Va102,22,30462.2045400004,29,41460.0746800006
Va38,VA38,AMES19011,Va38,32,29014.0824800001,22,47874.3264300003
Va52,VA52,AMES19014,Va52,19,26704.8432900003,37,55411.2036399999
Va85,VA85,AMES27193,Va85,24,29695.9584900004,35,38238.51038
Va99,VA99,AMES24989,Va99,33,27128.9069500002,26,51634.5363300005
VaW6,VAW6,AMES19000,VaW6,28,34268.9785500004,20,35430.7878400004
W153R,W153R,NSL30059,W153R,26,34661.6874500002,35,52229.7282800002
W22,W22,NSL30053,W22,23,23489.9645700001,43,68969.3750400004
W23,W23,NSL30060,W23,22,19994.6669400001,35,43008.4563600002
W24,W24,NSL30064,W24,19,18115.72281,23,36329.7753030002
W32,W32,NSL30071,W32,23,19885.3590000001,27,69921.5600200002
W552,W552,PI520770,W552,18,15469.92149,36,60147.3678100012
W64A,W64A,NSL30058,W64A,27,34296.6695200004,31,34932.7471100003
W9,W9,NSL30065,W9,25,25874.4133600002,27,39246.865233
WR3,WR3,NSL30066,WR3,28,26790.5210100002,43,69409.5804699999
YE_4,YE4,AMES2335,Ye 4,32,35292.2019100002,31,48279.48335
Yu796_NS,YU796NS,AMES27196,Yu796_NS,19,23146.9061000002,34,47996.9436630005
